FNAME,LNAME,SID,GENDER,AGE,ADDRESS_AREA,ADDRESS_ROAD,ADDRESS_BUILDING,ADDRESS-ROOM,PHONE,SUBJECT,,,,,,,CREDITS
Chan,Siu Koeng,10220030,F,20,North District,AMALFI DRIVE,Lin Tsui Estate,1029,19291616,Higher Diploma in Airline and Airport Services,,,,,,,20
Chan,Jat Tai,10220031,M,20,Tai Po District,AMENITY ROAD,Yue Wan Estate,1030,17685506,Higher Diploma in Business,,,,,,,20
Chan,Jat Zung,10220032,F,22,Sai Kung District,AMOY STREET,Yiu Tung Estate,1031,14595541,Associate of Biomedical Sciences,,,,,,,20
Chan,Jat Siu,10220033,F,18,Sha Tin District,ANCHOR STREET,Tsui Wan Estate,1032,11750333,Higher Diploma in eSports,,,,,,,20
Chan,Jat Jat,10220034,F,22,Kwai Tsing District,ANDERSON ROAD,Tsui Wan Estate,1033,17787194,Higher Diploma in Airline and Airport Services,,,,,,,20
Chan,Jat Ji,10220035,M,22,Central and Western District,ANGEL ISLAND AVENUE,Yue Wan Estate,1034,16613076,Higher Diploma in Visual Communication,,,,,,,20
Chan,Jat Saam,10220036,F,19,Wan Chai District,ANHUI STREET,Yiu Tung Estate,1035,13320186,Associate of Engineering,,,,,,,20
Chan,Jat Sam,10220037,F,22,Eastern District,ANTON STREET,Wan Tsui Estate,1036,17027964,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Jat Man,10220038,M,21,Southern District,AP LEI CHAU BRIDGE ROAD,Hing Tung Estate,1037,13929353,Higher Diploma in Airline and Airport Services,,,,,,,20
Chan,Jat Tin,10220039,F,17,Yau Tsim Mong District,AP LEI CHAU DRIVE,Tsui Wan Estate,1038,16275001,Associate of Arts in Legal Studies,,,,,,,20
Chan,Jat Koeng,10220040,M,22,Sham Shui Po District,AP LEI CHAU PRAYA ROAD,Hing Wah (2) Estate,1039,13962746,Higher Diploma in Airline and Airport Services,,,,,,,20
Chan,Ji Tai,10220041,F,17,Kowloon City District,APLIU STREET,Central & Western,1040,12567152,Higher Diploma in Geotechnical Engineering,,,,,,,20
Chan,Ji Zung,10220042,M,20,Wong Tai Sin District,ARBUTHNOT ROAD,Chai Wan Estate,1041,14189581,Higher Diploma in Interior Design,,,,,,,20
Chan,Ji Siu,10220043,M,17,Kwun Tong District,ARGYLE STREET,Wah Ha Estate,1042,17152556,Higher Diploma in Chinese for Professional Communication,,,,,,,20
Chan,Ji Jat,10220044,F,18,Tsuen Wan District,ARRAN LANE,Tsui Wan Estate,1043,18421168,Higher Diploma in Aviation and Piloting,,,,,,,20
Chan,Ji Ji,10220045,F,21,Tuen Mun District,ARRAN STREET,Tsui Wan Estate,1044,19823375,Higher Diploma in Business,,,,,,,20
Chan,Ji Saam,10220046,F,17,Yuen Long District,ARSENAL STREET,Tsui Lok Estate,1045,17854925,Associate of Nursing Studies,,,,,,,20
Chan,Ji Sam,10220047,M,18,North District,ARTHUR STREET,Tsui Wan Estate,1046,16148418,Associate of Engineering,,,,,,,20
Chan,Ji Man,10220048,F,19,Tai Po District,ASH STREET,Tsui Wan Estate,1047,15314012,Higher Diploma in Marketing,,,,,,,20
Chan,Ji Tin,10220049,M,22,Sai Kung District,ASHLEY ROAD,Model Housing Estate,1048,14787773,Associate of Social Sciences,,,,,,,20
Chan,Ji Koeng,10220050,F,19,Sha Tin District,AU PUI WAN STREET,Model Housing Estate,1049,16994197,Associate of Biomedical Sciences,,,,,,,20
Chan,Saam Tai,10220051,M,19,Kwai Tsing District,AUSTIN AVENUE,Model Housing Estate,1050,17339320,"Associate of Arts in Media, Cultural and Creative Studies",,,,,,,20
Chan,Saam Zung,10220052,F,17,Central and Western District,AUSTIN ROAD,Oi Tung Estate,1051,12406595,Higher Diploma in Aviation and Piloting,,,,,,,20
Chan,Saam Siu,10220053,M,22,Wan Chai District,AUSTIN ROAD WEST,Siu Sai Wan Estate,1052,17497602,Higher Diploma in Airline and Airport Services,,,,,,,20
Chan,Saam Jat,10220054,F,22,Eastern District,AVENUE DE VERSAILLES,Siu Sai Wan Estate,1053,12891001,Associate of Arts in English Language and Literature,,,,,,,20
Chan,Saam Ji,10220055,F,19,Southern District,AVIO BOULEVARD,Fung Wah Estate,1054,19711181,Higher Diploma in Dental Hygiene,,,,,,,20
Chan,Saam Saam,10220056,F,17,Yau Tsim Mong District,BABINGTON PATH,Fung Wah Estate,1055,12341756,Associate of Arts in Legal Studies,,,,,,,20
Chan,Saam Sam,10220057,F,19,Sham Shui Po District,BAGRIE STREET,Fung Wah Estate,1056,19770518,Higher Diploma in Global Supply Chain Management,,,,,,,20
Chan,Saam Man,10220058,M,19,Kowloon City District,BAHANS AVENUE,Hing Man Estate,1057,17427860,Associate of Biomedical Sciences,,,,,,,20
Chan,Saam Tin,10220059,F,17,Wong Tai Sin District,BAILEY STREET,Wan Tsui Estate,1058,12265509,Higher Diploma in Information Security,,,,,,,20
Chan,Saam Koeng,10220060,F,21,Kwun Tong District,BAKER COURT,Wan Tsui Estate,1059,19654879,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Sam Tai,10220061,F,22,Tsuen Wan District,BAKER STREET,Wan Tsui Estate,1060,10393666,Higher Diploma in Translation and Interpretation,,,,,,,20
Chan,Sam Zung,10220062,M,20,Tuen Mun District,BANK STREET,Wah Fu (I) Estate,1061,14857086,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Sam Siu,10220063,F,19,Yuen Long District,BANYAN PATH,Wah Fu (II) Estate,1062,11138886,Higher Diploma in Interior Design,,,,,,,20
Chan,Sam Jat,10220064,F,19,North District,BAPTIST UNIVERSITY ROAD,Wah Fu (II) Estate,1063,17382764,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Sam Ji,10220065,F,22,Tai Po District,BARKER ROAD,Wah Fu (II) Estate,1064,10826983,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Sam Saam,10220066,F,20,Sai Kung District,BASEL ROAD,Ap Lei Chau Estate,1065,13616412,Higher Diploma in Aviation Studies,,,,,,,20
Chan,Sam Sam,10220067,F,19,Sha Tin District,BATTERY PATH,Wah Fu (II) Estate,1066,12163600,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Sam Man,10220068,F,22,Kwai Tsing District,BATTERY STREET,Ma Hang Estate,1067,12224969,Higher Diploma in Translation and Interpretation,,,,,,,20
Chan,Sam Tin,10220069,M,19,Central and Western District,BAUHINIA ROAD EAST,Ma Hang Estate,1068,13681314,"Associate of Arts in Media, Cultural and Creative Studies",,,,,,,20
Chan,Sam Koeng,10220070,F,19,Wan Chai District,BAUHINIA ROAD NORTH,Tin Wan Estate,1069,15313893,Associate of Biomedical Sciences,,,,,,,20
Chan,Man Tai,10220071,F,18,Eastern District,BAUHINIA ROAD SOUTH,Ma Hang Estate,1070,16009018,Higher Diploma in Global Supply Chain Management,,,,,,,20
Chan,Man Zung,10220072,F,19,Southern District,BAUHINIA ROAD WEST,Wah Kwai Estate,1071,12883253,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Man Siu,10220073,F,20,Yau Tsim Mong District,BAYSIDE DRIVE,Ma Hang Estate,1072,11071977,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Man Jat,10220074,M,17,Sham Shui Po District,BEACH ROAD,Lei Tung Estate,1073,11465304,Associate of Arts in Languages and Humanities,,,,,,,20
Chan,Man Ji,10220075,M,17,Kowloon City District,BEACON HILL ROAD,Lei Tung Estate,1074,13000151,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Man Saam,10220076,M,21,Wong Tai Sin District,BEDFORD ROAD,Shek Pai Wan Estate,1075,12181833,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Man Sam,10220077,M,19,Kwun Tong District,BEECH STREET,Lei Tung Estate,1076,11056720,Associate of Social Sciences,,,,,,,20
Chan,Man Man,10220078,M,17,Tsuen Wan District,BEGONIA PATH,Cheung Sha Wan Estate,1077,14011070,Higher Diploma in Global Supply Chain Management,,,,,,,20
Chan,Man Tin,10220079,M,19,Tuen Mun District,BEGONIA ROAD,Nam Shan Estate,1078,13689434,Higher Diploma in Information Security,,,,,,,20
Chan,Man Koeng,10220080,M,18,Yuen Long District,BEL-AIR AVENUE,Nam Shan Estate,1079,18777863,Higher Diploma in Engineering,,,,,,,20
Chan,Tin Tai,10220081,F,18,North District,BEL-AIR PEAK AVENUE,Nam Shan Estate,1080,10143162,Higher Diploma in Data Science,,,,,,,20
Chan,Tin Zung,10220082,F,17,Tai Po District,BEL-AIR PEAK RISE,Nam Shan Estate,1081,18311529,Associate of Arts in Languages and Humanities,,,,,,,20
Chan,Tin Siu,10220083,M,22,Sai Kung District,BEL-AIR RISE,Nam Shan Estate,1082,19515170,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
Chan,Tin Jat,10220084,M,19,Sha Tin District,BELCHER'S STREET,Nam Shan Estate,1083,19000702,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Tin Ji,10220085,M,17,Kwai Tsing District,BELFRAN ROAD,Nam Shan Estate,1084,12660472,Higher Diploma in Global Supply Chain Management,,,,,,,20
Chan,Tin Saam,10220086,F,19,Central and Western District,BELLEVIEW DRIVE,Nam Shan Estate,1085,18124252,Higher Diploma in Data Science,,,,,,,20
Chan,Tin Sam,10220087,M,22,Wan Chai District,BERN AVENUE,Nam Shan Estate,1086,10121809,Higher Diploma in Translation and Interpretation,,,,,,,20
Chan,Tin Man,10220088,M,20,Eastern District,BERWICK ROAD,Nam Shan Estate,1087,17151182,Higher Diploma in eSports,,,,,,,20
Chan,Tin Tin,10220089,F,20,Southern District,BERWICK STREET,Nam Shan Estate,1088,13489721,Higher Diploma in Information Technology,,,,,,,20
Chan,Tin Koeng,10220090,F,18,Yau Tsim Mong District,BEVERA BOULEVARD,Hoi Lai Estate,1089,10606416,Higher Diploma in Data Science,,,,,,,20
Chan,Koeng Tai,10220091,M,17,Sham Shui Po District,BIG WAVE BAY ROAD,Hoi Lai Estate,1090,11827032,Higher Diploma in Information Technology,,,,,,,20
Chan,Koeng Zung,10220092,F,21,Kowloon City District,BIJOU DRIVE,Hoi Lai Estate,1091,12369428,"Associate of Arts in Media, Cultural and Creative Studies",,,,,,,20
Chan,Koeng Siu,10220093,M,20,Wong Tai Sin District,BIOTECHNOLOGY AVENUE,Hoi Lai Estate,1092,13348287,Higher Diploma in Chinese for Professional Communication,,,,,,,20
Chan,Koeng Jat,10220094,F,19,Kwun Tong District,BIRCH PATH,Hoi Lai Estate,1093,12760959,Higher Diploma in Library and Information Management,,,,,,,20
Chan,Koeng Ji,10220095,F,17,Tsuen Wan District,BISNEY ROAD,Kai Ching Estate,1094,15865988,Higher Diploma in Healthcare and Health Plan Administration,,,,,,,20
Chan,Koeng Saam,10220096,F,19,Tuen Mun District,BLACK'S LINK,Kai Ching Estate,1095,18973520,Higher Diploma in Geotechnical Engineering,,,,,,,20
Chan,Koeng Sam,10220097,M,22,Yuen Long District,BLENHEIM AVENUE,Kai Ching Estate,1096,12954839,Associate of Arts in Languages and Humanities,,,,,,,20
Chan,Koeng Man,10220098,F,22,North District,BLISS LINK,Kai Ching Estate,1097,11858847,Higher Diploma in Aviation Studies,,,,,,,20
Chan,Koeng Tin,10220099,M,18,Tai Po District,BLUE POOL ROAD,Kai Ching Estate,1098,18145355,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
Chan,Koeng Koeng,10220100,F,18,Sai Kung District,BLUFF PATH,Hung Hom Estate,1099,11804934,Associate of Business Administration,,,,,,,20
CHIU,Tai Tai,10220101,F,19,Sha Tin District,BOAT STREET,Hung Hom Estate,1100,11029786,Higher Diploma in Business,,,,,,,20
CHIU,Tai Zung,10220102,F,18,Kwai Tsing District,BOILER ROAD EAST,Hung Hom Estate,1101,10074628,Higher Diploma in New Media and Communication,,,,,,,20
CHIU,Tai Siu,10220103,M,17,Sai Kung District,BOILER ROAD WEST,Hung Hom Estate,1102,18086339,Associate of Business Administration,,,,,,,20
CHIU,Tai Jat,10220104,M,18,Central and Western District,BONHAM ROAD,Hung Hom Estate,1103,14418310,Associate of Biomedical Sciences,,,,,,,20
CHIU,Tai Ji,10220105,F,22,Wan Chai District,BONHAM STRAND,Hung Hom Estate,1104,12257477,Associate of Business Administration,,,,,,,20
CHIU,Tai Saam,10220106,M,19,Eastern District,BONHAM STRAND WEST,Hung Hom Estate,1105,15751231,Higher Diploma in Chinese for Professional Communication,,,,,,,20
CHIU,Tai Sam,10220107,F,18,Southern District,BORRETT ROAD,Shatin Pass Estate,1106,18814032,Higher Diploma in Aviation and Piloting,,,,,,,20
CHIU,Tai Man,10220108,M,18,Yau Tsim Mong District,BOULEVARD DE CASCADE,Shatin Pass Estate,1107,16439297,Higher Diploma in Information Security,,,,,,,20
CHIU,Tai Tin,10220109,M,18,Sham Shui Po District,BOULEVARD DE FONTAINE,Shatin Pass Estate,1108,10712683,Associate of Social Sciences,,,,,,,20
CHIU,Tai Koeng,10220110,F,22,Kowloon City District,BOULEVARD DE FORET,Shatin Pass Estate,1109,18446222,Higher Diploma in Information Security,,,,,,,20
CHIU,Zung Tai,10220111,F,20,Wong Tai Sin District,BOULEVARD DE MER,Kai Chuen Court,1110,14384519,Higher Diploma in Information Security,,,,,,,20
CHIU,Zung Zung,10220112,F,20,Kwun Tong District,BOULEVARD DU LAC,Kai Chuen Court,1111,18837031,Associate of Geography,,,,,,,20
CHIU,Zung Siu,10220113,M,22,Tsuen Wan District,BOULEVARD DU PALAIS,Kai Chuen Court,1112,10283838,Associate of Business Administration,,,,,,,20
CHIU,Zung Jat,10220114,F,22,Tuen Mun District,BOUNDARY STREET,Tsz Lok Estate,1113,16019773,Associate of Social Sciences,,,,,,,20
CHIU,Zung Ji,10220115,M,17,Yuen Long District,BOWEN DRIVE,Tsz Lok Estate,1114,12279000,Associate of Business Administration,,,,,,,20
CHIU,Zung Saam,10220116,F,22,North District,BOWEN ROAD,Tsz Lok Estate,1115,12544988,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
CHIU,Zung Sam,10220117,F,21,Tai Po District,BOWRING STREET,Tsz Lok Estate,1116,11176439,Associate of Arts in Legal Studies,,,,,,,20
CHIU,Zung Man,10220118,M,17,Sai Kung District,BOWRINGTON ROAD,Tsz Lok Estate,1117,17141079,Higher Diploma in Translation and Interpretation,,,,,,,20
CHIU,Zung Tin,10220119,M,19,Sha Tin District,BOYCE ROAD,Tsz Ching Estate,1118,15411717,Higher Diploma in eSports,,,,,,,20
CHIU,Zung Koeng,10220120,F,20,Kwai Tsing District,BRAEMAR HILL ROAD,Tsz Ching Estate,1119,19104443,Associate of Business Administration,,,,,,,20
CHIU,Siu Tai,10220121,M,20,Central and Western District,BRAGA CIRCUIT,Tsz Ching Estate,1120,13668641,Higher Diploma in Interior Design,,,,,,,20
CHIU,Siu Zung,10220122,F,17,Wan Chai District,BREEZY PATH,Tsz Ching Estate,1121,16166069,Higher Diploma in Architectural Studies,,,,,,,20
CHIU,Siu Siu,10220123,F,22,Eastern District,BREWIN PATH,Upper Wong Tai Sin Estate,1122,16779478,Associate of Nursing Studies,,,,,,,20
CHIU,Siu Jat,10220124,F,18,Southern District,BRIAR AVENUE,Upper Wong Tai Sin Estate,1123,10804714,Associate of Social Sciences,,,,,,,20
CHIU,Siu Ji,10220125,F,18,Yau Tsim Mong District,BRIDE'S POOL ROAD,Upper Wong Tai Sin Estate,1124,13683533,Higher Diploma in Global Supply Chain Management,,,,,,,20
CHIU,Siu Saam,10220126,M,17,Sham Shui Po District,BRIDGE ROAD,Fu Shan Estate,1125,16634735,Higher Diploma in Visual Communication,,,,,,,20
CHIU,Siu Sam,10220127,M,21,Kowloon City District,BRIDGES STREET,Fu Shan Estate,1126,18832218,Higher Diploma in Aviation and Piloting,,,,,,,20
CHIU,Siu Man,10220128,M,22,Wong Tai Sin District,BRISTOL AVENUE,Fu Shan Estate,1127,10817363,Higher Diploma in Architectural Studies,,,,,,,20
CHIU,Siu Tin,10220129,M,20,Kwun Tong District,BROADCAST DRIVE,Fu Shan Estate,1128,19527133,Higher Diploma in Visual Communication,,,,,,,20
CHIU,Siu Koeng,10220130,F,18,Tsuen Wan District,BROADWAY,Fu Shan Estate,1129,17163702,Higher Diploma in Chinese for Professional Communication,,,,,,,20
CHIU,Jat Tai,10220131,F,21,Tuen Mun District,BROADWOOD ROAD,Chuk Yuen South Estate,1130,14670551,Associate of Business Administration,,,,,,,20
CHIU,Jat Zung,10220132,M,17,Yuen Long District,BROOM ROAD,Chuk Yuen South Estate,1131,14783852,Higher Diploma in Information Security,,,,,,,20
CHIU,Jat Siu,10220133,F,21,North District,BROWN STREET,Chuk Yuen South Estate,1132,14667059,Higher Diploma in Interior Design,,,,,,,20
CHIU,Jat Jat,10220134,M,22,Tai Po District,BULKELEY STREET,Chuk Yuen South Estate,1133,14304189,Higher Diploma in Information Technology,,,,,,,20
CHIU,Jat Ji,10220135,F,20,Sai Kung District,BULLOCK LANE,Chuk Yuen South Estate,1134,14125626,Associate of Chinese Medicine,,,,,,,20
CHIU,Jat Saam,10220136,F,17,Sha Tin District,BURD STREET,Chuk Yuen South Estate,1135,11444674,Higher Diploma in Data Science,,,,,,,20
CHIU,Jat Sam,10220137,M,21,Kwai Tsing District,BURROWS STREET,Mei Tung Estate,1136,11871927,Higher Diploma in Information Security,,,,,,,20
CHIU,Jat Man,10220138,M,22,Central and Western District,BUTE STREET,Mei Tung Estate,1137,10108571,Higher Diploma in Engineering,,,,,,,20
CHIU,Jat Tin,10220139,F,18,Wan Chai District,BUTTERFLY VALLEY ROAD,Mei Tung Estate,1138,12406514,Higher Diploma in Information Technology,,,,,,,20
CHIU,Jat Koeng,10220140,M,19,Eastern District,BUTTS AVENUE,Mei Tung Estate,1139,11969313,Higher Diploma in Marketing,,,,,,,20
CHIU,Ji Tai,10220141,M,22,Southern District,CADOGAN STREET,Mei Tung Estate,1140,13050367,Higher Diploma in Information Security,,,,,,,20
CHIU,Ji Zung,10220142,F,21,Yau Tsim Mong District,CAINE LANE,Mei Tung Estate,1141,10128963,Higher Diploma in Business,,,,,,,20
CHIU,Ji Siu,10220143,F,17,Sham Shui Po District,CAINE ROAD,Mei Tung Estate,1142,11930403,Associate of Social Sciences,,,,,,,20
CHIU,Ji Jat,10220144,F,17,Kowloon City District,CALDECOTT ROAD,Mei Tung Estate,1143,19188193,Higher Diploma in Geotechnical Engineering,,,,,,,20
CHIU,Ji Ji,10220145,M,22,Wong Tai Sin District,CALDER PATH,Mei Tung Estate,1144,19078080,Higher Diploma in Aviation Studies,,,,,,,20
CHIU,Ji Saam,10220146,M,21,Kwun Tong District,CAMBRIDGE ROAD,Mei Tung Estate,1145,15155399,Higher Diploma in Visual Communication,,,,,,,20
CHIU,Ji Sam,10220147,F,17,Tsuen Wan District,CAMELIA PATH,Mei Tung Estate,1146,11360217,Higher Diploma in Aviation Studies,,,,,,,20
CHIU,Ji Man,10220148,M,19,Tuen Mun District,CAMERON LANE,Mei Tung Estate,1147,17555715,Higher Diploma in Visual Communication,,,,,,,20
CHIU,Ji Tin,10220149,F,18,Yuen Long District,CAMERON ROAD,Mei Tung Estate,1148,19416523,Associate of Social Sciences,,,,,,,20
CHIU,Ji Koeng,10220150,M,18,North District,CAMP STREET,Mei Tung Estate,1149,11764202,Higher Diploma in eSports,,,,,,,20
CHIU,Saam Tai,10220151,M,22,Tai Po District,CAMPUS CIRCUIT EAST,Mei Tung Estate,1150,19590614,Higher Diploma in Interior Design,,,,,,,20
CHIU,Saam Zung,10220152,F,21,Sai Kung District,CAMPUS CIRCUIT NORTH,Mei Tung Estate,1151,17643972,Associate of Nursing Studies,,,,,,,20
CHIU,Saam Siu,10220153,M,20,Sha Tin District,CAMPUS CIRCUIT WEST,Mei Tung Estate,1152,16596932,Associate of Engineering,,,,,,,20
CHIU,Saam Jat,10220154,M,19,Kwai Tsing District,CANAL ROAD EAST,Choi Fook Estate,1153,18415885,Associate of Engineering,,,,,,,20
CHIU,Saam Ji,10220155,M,19,Central and Western District,CANAL ROAD FLYOVER,Choi Fook Estate,1154,16137860,Higher Diploma in Dental Hygiene,,,,,,,20
CHIU,Saam Saam,10220156,M,17,Wan Chai District,CANAL ROAD WEST,Choi Fook Estate,1155,11812303,Higher Diploma in Visual Communication,,,,,,,20
CHIU,Saam Sam,10220157,F,22,Eastern District,CANNON STREET,Choi Fook Estate,1156,14465799,Higher Diploma in Interior Design,,,,,,,20
CHIU,Saam Man,10220158,F,20,Southern District,CANTON ROAD,Choi Tak Estate,1157,11899897,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
CHIU,Saam Tin,10220159,M,21,Yau Tsim Mong District,CAPE COLLINSON ROAD,Choi Tak Estate,1158,15250578,Associate of Engineering,,,,,,,20
CHIU,Saam Koeng,10220160,M,19,Sham Shui Po District,CAPE D'AGUILAR ROAD,Choi Tak Estate,1159,16738128,Associate of Geography,,,,,,,20
CHIU,Sam Tai,10220161,M,21,Kowloon City District,CAPE DRIVE,Choi Tak Estate,1160,10899181,Associate of Geography,,,,,,,20
CHIU,Sam Zung,10220162,M,22,Wong Tai Sin District,CAPE ROAD,Tsui Ping (South) Estate,1161,15780045,Higher Diploma in Airline and Airport Services,,,,,,,20
CHIU,Sam Siu,10220163,M,21,Kwun Tong District,CAPELAND DRIVE,Tsui Ping (South) Estate,1162,13075055,Higher Diploma in Aviation Studies,,,,,,,20
CHIU,Sam Jat,10220164,F,22,Tsuen Wan District,CAPERIDGE DRIVE,Tsui Ping (South) Estate,1163,10327829,Higher Diploma in Geotechnical Engineering,,,,,,,20
CHIU,Sam Ji,10220165,M,20,Tuen Mun District,CAPEVALE DRIVE,On Tat Estate,1164,12177837,Higher Diploma in Library and Information Management,,,,,,,20
CHIU,Sam Saam,10220166,F,21,Yuen Long District,CARMEL AVENUE,On Tat Estate,1165,18186833,Associate of Engineering,,,,,,,20
CHIU,Sam Sam,10220167,F,18,North District,CARMEL ROAD,On Tat Estate,1166,16732383,Higher Diploma in Aviation and Piloting,,,,,,,20
CHIU,Sam Man,10220168,F,22,Tai Po District,CARMEL VILLAGE STREET,On Tat Estate,1167,12926982,Higher Diploma in eSports,,,,,,,20
CHIU,Sam Tin,10220169,F,20,Sai Kung District,CARNARVON ROAD,Lower Ngau Tau Kok Estate,1168,17420500,Higher Diploma in Aviation and Piloting,,,,,,,20
CHIU,Sam Koeng,10220170,M,21,Sha Tin District,CAROLINE HILL ROAD,Lower Ngau Tau Kok Estate,1169,15925700,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
CHIU,Man Tai,10220171,M,20,Kwai Tsing District,CARPENTER ROAD,Lower Ngau Tau Kok Estate,1170,15305026,Higher Diploma in Dental Hygiene,,,,,,,20
